image_id,modality,file_path,glare_score,corrected
0_left.jpg,slit_lamp,dataset_01\cataract\0_left.jpg,0.0,True
103_left.jpg,slit_lamp,dataset_01\cataract\103_left.jpg,0.0,True
1062_right.jpg,slit_lamp,dataset_01\cataract\1062_right.jpg,0.0,True
1083_left.jpg,slit_lamp,dataset_01\cataract\1083_left.jpg,0.0,True
1084_right.jpg,slit_lamp,dataset_01\cataract\1084_right.jpg,0.0,True
1102_left.jpg,slit_lamp,dataset_01\cataract\1102_left.jpg,0.0,True
1102_right.jpg,slit_lamp,dataset_01\cataract\1102_right.jpg,0.0,True
1115_left.jpg,slit_lamp,dataset_01\cataract\1115_left.jpg,14.53,True
1126_right.jpg,slit_lamp,dataset_01\cataract\1126_right.jpg,0.02,True
112_right.jpg,slit_lamp,dataset_01\cataract\112_right.jpg,0.0,True
1144_left.jpg,slit_lamp,dataset_01\cataract\1144_left.jpg,0.11,True
1144_right.jpg,slit_lamp,dataset_01\cataract\1144_right.jpg,0.02,True
1164_left.jpg,slit_lamp,dataset_01\cataract\1164_left.jpg,0.0,True
1167_right.jpg,slit_lamp,dataset_01\cataract\1167_right.jpg,0.0,True
119_left.jpg,slit_lamp,dataset_01\cataract\119_left.jpg,0.65,True
1285_left.jpg,slit_lamp,dataset_01\cataract\1285_left.jpg,0.55,True
1415_left.jpg,slit_lamp,dataset_01\cataract\1415_left.jpg,0.25,True
1415_right.jpg,slit_lamp,dataset_01\cataract\1415_right.jpg,0.12,True
1435_left.jpg,slit_lamp,dataset_01\cataract\1435_left.jpg,0.0,True
1444_left.jpg,slit_lamp,dataset_01\cataract\1444_left.jpg,0.0,True
1452_left.jpg,slit_lamp,dataset_01\cataract\1452_left.jpg,0.0,True
1454_right.jpg,slit_lamp,dataset_01\cataract\1454_right.jpg,0.0,True
1456_left.jpg,slit_lamp,dataset_01\cataract\1456_left.jpg,0.0,True
1460_right.jpg,slit_lamp,dataset_01\cataract\1460_right.jpg,0.0,True
1468_left.jpg,slit_lamp,dataset_01\cataract\1468_left.jpg,0.0,True
1483_right.jpg,slit_lamp,dataset_01\cataract\1483_right.jpg,0.0,True
1484_left.jpg,slit_lamp,dataset_01\cataract\1484_left.jpg,0.0,True
1484_right.jpg,slit_lamp,dataset_01\cataract\1484_right.jpg,0.0,True
1490_right.jpg,slit_lamp,dataset_01\cataract\1490_right.jpg,0.0,True
188_right.jpg,slit_lamp,dataset_01\cataract\188_right.jpg,0.0,True
1968_left.jpg,slit_lamp,dataset_01\cataract\1968_left.jpg,0.0,True
1987_left.jpg,slit_lamp,dataset_01\cataract\1987_left.jpg,0.0,True
1994_left.jpg,slit_lamp,dataset_01\cataract\1994_left.jpg,0.0,True
2052_left.jpg,slit_lamp,dataset_01\cataract\2052_left.jpg,0.0,True
2052_right.jpg,slit_lamp,dataset_01\cataract\2052_right.jpg,0.0,True
2074_right.jpg,slit_lamp,dataset_01\cataract\2074_right.jpg,0.0,True
2095_right.jpg,slit_lamp,dataset_01\cataract\2095_right.jpg,0.0,True
2096_right.jpg,slit_lamp,dataset_01\cataract\2096_right.jpg,0.0,True
2097_right.jpg,slit_lamp,dataset_01\cataract\2097_right.jpg,21.27,True
2098_left.jpg,slit_lamp,dataset_01\cataract\2098_left.jpg,7.63,True
2098_right.jpg,slit_lamp,dataset_01\cataract\2098_right.jpg,0.0,True
2099_left.jpg,slit_lamp,dataset_01\cataract\2099_left.jpg,0.03,True
2100_right.jpg,slit_lamp,dataset_01\cataract\2100_right.jpg,0.0,True
2101_left.jpg,slit_lamp,dataset_01\cataract\2101_left.jpg,0.0,True
2101_right.jpg,slit_lamp,dataset_01\cataract\2101_right.jpg,0.0,True
2103_left.jpg,slit_lamp,dataset_01\cataract\2103_left.jpg,0.0,True
2103_right.jpg,slit_lamp,dataset_01\cataract\2103_right.jpg,0.0,True
2104_left.jpg,slit_lamp,dataset_01\cataract\2104_left.jpg,0.0,True
2104_right.jpg,slit_lamp,dataset_01\cataract\2104_right.jpg,0.0,True
2105_left.jpg,slit_lamp,dataset_01\cataract\2105_left.jpg,0.0,True
2105_right.jpg,slit_lamp,dataset_01\cataract\2105_right.jpg,0.0,True
2106_right.jpg,slit_lamp,dataset_01\cataract\2106_right.jpg,0.01,True
2107_left.jpg,slit_lamp,dataset_01\cataract\2107_left.jpg,0.0,True
2108_left.jpg,slit_lamp,dataset_01\cataract\2108_left.jpg,0.0,True
2108_right.jpg,slit_lamp,dataset_01\cataract\2108_right.jpg,0.0,True
2109_left.jpg,slit_lamp,dataset_01\cataract\2109_left.jpg,0.0,True
2109_right.jpg,slit_lamp,dataset_01\cataract\2109_right.jpg,0.0,True
2110_left.jpg,slit_lamp,dataset_01\cataract\2110_left.jpg,0.0,True
2110_right.jpg,slit_lamp,dataset_01\cataract\2110_right.jpg,0.0,True
2111_left.jpg,slit_lamp,dataset_01\cataract\2111_left.jpg,0.0,True
2113_left.jpg,slit_lamp,dataset_01\cataract\2113_left.jpg,1.06,True
2113_right.jpg,slit_lamp,dataset_01\cataract\2113_right.jpg,0.0,True
2114_left.jpg,slit_lamp,dataset_01\cataract\2114_left.jpg,0.0,True
2114_right.jpg,slit_lamp,dataset_01\cataract\2114_right.jpg,0.02,True
2115_right.jpg,slit_lamp,dataset_01\cataract\2115_right.jpg,0.0,True
2116_left.jpg,slit_lamp,dataset_01\cataract\2116_left.jpg,0.0,True
2116_right.jpg,slit_lamp,dataset_01\cataract\2116_right.jpg,0.0,True
2117_left.jpg,slit_lamp,dataset_01\cataract\2117_left.jpg,0.0,True
