filename,rel_path,image_source,NO_raw,NO_bin,NC_raw,NC_bin,CO_raw,CO_bin,PSC_raw,PSC_bin
0_left.jpg,data\raw\slit_lamp\dataset_01\cataract\0_left.jpg,slit_lamp,2.553049273,3,2.200677863,2,2.123979265,2,2.810057275,3
103_left.jpg,data\raw\slit_lamp\dataset_01\cataract\103_left.jpg,slit_lamp,2.19821887,2,1.829150296,2,2.122300046,2,2.473144283,2
1062_right.jpg,data\raw\slit_lamp\dataset_01\cataract\1062_right.jpg,slit_lamp,1.848642788,2,1.399814631,1,2.123139612,2,2.189666399,2
1083_left.jpg,data\raw\slit_lamp\dataset_01\cataract\1083_left.jpg,slit_lamp,2.952586893,3,2.478267969,2,2.12637875,2,2.367569683,2
1084_right.jpg,data\raw\slit_lamp\dataset_01\cataract\1084_right.jpg,slit_lamp,2.071139873,2,2.144280813,2,2.087955019,2,2.820271089,3
1102_left.jpg,data\raw\slit_lamp\dataset_01\cataract\1102_left.jpg,slit_lamp,2.236760053,2,1.799902625,2,2.120980905,2,2.392258857,2
1102_right.jpg,data\raw\slit_lamp\dataset_01\cataract\1102_right.jpg,slit_lamp,2.392381851,2,1.855758697,2,2.120860994,2,2.435302958,2
1115_left.jpg,data\raw\slit_lamp\dataset_01\cataract\1115_left.jpg,slit_lamp,1.409899811,1,1.74305557,2,2.12265985,2,1.456949725,1
1126_right.jpg,data\raw\slit_lamp\dataset_01\cataract\1126_right.jpg,slit_lamp,1.205272085,1,1.285692057,1,2.119901768,2,2.079469473,2
112_right.jpg,data\raw\slit_lamp\dataset_01\cataract\112_right.jpg,slit_lamp,2.40862579,2,1.971560127,2,2.11906254,2,2.581957102,3
1144_left.jpg,data\raw\slit_lamp\dataset_01\cataract\1144_left.jpg,slit_lamp,1.766198161,2,1.65063915,2,2.121220733,2,2.230088674,2
1144_right.jpg,data\raw\slit_lamp\dataset_01\cataract\1144_right.jpg,slit_lamp,1.438679469,1,1.598647491,2,2.120021665,2,2.167521398,2
1164_left.jpg,data\raw\slit_lamp\dataset_01\cataract\1164_left.jpg,slit_lamp,2.194745726,2,2.196987476,2,2.123499453,2,2.620726609,3
