image_id,severity_expert,NO_expert,NC_expert,CO_expert,PSC_expert,confidence,source,NO_pseudo,NC_pseudo,CO_pseudo,PSC_pseudo,severity_bin
_123_8135331.jpg,4,3,3,2,2,80%,slit_lamp,3,3,2,2,3
_124_7084348.jpg,1,3,5,2,3,80%,slit_lamp,3,5,2,3,5
_201_2875079.jpg,3,2,2,2,2,80%,slit_lamp,2,2,2,2,2
_249_6890690.jpg,2,2,2,2,3,80%,slit_lamp,3,2,2,2,3
_264_8423794.jpg,1,3,2,3,2,80%,slit_lamp,3,2,2,2,3
_32_9153320.jpg,3,4,3,2,3,80%,slit_lamp,3,4,2,3,4
_325_4867292.jpg,2,2,3,3,2,80%,slit_lamp,3,3,2,2,3
_362_4801225.jpg,4,3,2,2,3,80%,slit_lamp,3,2,2,3,3
_37_7526265.jpg,5,1,2,2,1,80%,slit_lamp,2,1,2,2,2
_37_8896673.jpg,3,2,1,1,2,80%,slit_lamp,2,1,2,2,2
_39_2691222.jpg,2,3,2,4,3,80%,slit_lamp,3,4,2,3,4
10710_left.jpeg,5,3,3,2,2,80%,slit_lamp,3,3,2,2,3
10934_right.jpeg,4,3,1,2,4,80%,slit_lamp,3,1,2,4,4
11091_left.jpeg,4,3,2,1,4,80%,slit_lamp,3,1,2,4,4
11153_left.jpeg,5,3,4,2,3,80%,slit_lamp,3,2,2,4,4
11314_right.jpeg,4,4,3,2,4,80%,slit_lamp,3,2,2,4,4
11420_left.jpeg,5,3,4,2,3,80%,slit_lamp,3,2,2,4,4
1410_left.jpg,0,2,1,3,2,80%,slit_lamp,3,3,2,3,3
1589_left.jpg,0,0,0,0,0,80%,slit_lamp,1,3,5,2,5
2113_right.jpg,3,2,1,3,3,80%,slit_lamp,3,4,2,3,4
2115_right.jpg,5,4,3,4,4,80%,slit_lamp,2,2,2,3,3
2136_left.jpg,3,2,3,2,4,80%,slit_lamp,2,2,2,2,2
2206_right.jpg,3,3,2,3,3,80%,slit_lamp,2,2,2,2,2
2211_right.jpg,4,4,3,2,4,80%,slit_lamp,2,5,2,3,5
2507_right.jpg,0,0,0,0,0,80%,slit_lamp,3,3,2,3,3
2569_right.jpg,0,0,0,0,0,80%,slit_lamp,2,2,2,2,2
2585_left.jpg,0,0,0,0,0,80%,slit_lamp,2,2,2,2,2
2708_left.jpg,0,0,0,0,0,80%,slit_lamp,3,3,2,3,3
3025_left.jpg,0,0,0,0,0,80%,slit_lamp,2,2,2,2,2
3204_left.jpg,0,0,0,0,0,80%,slit_lamp,3,4,2,3,4
3364_right.jpg,0,0,0,0,0,80%,slit_lamp,2,2,2,2,2
3377_left.jpg,0,0,0,0,0,80%,slit_lamp,3,5,2,3,5
3392_right.jpg,0,0,0,0,0,80%,slit_lamp,1,5,2,2,5
3448_right.jpg,0,0,0,0,0,80%,slit_lamp,2,2,2,2,2
4210_right.jpg,4,4,3,2,3,80%,slit_lamp,1,3,5,2,5
4348_left.jpg,4,3,4,4,3,80%,slit_lamp,2,2,4,2,4
526_left.jpg,0,0,0,0,0,80%,slit_lamp,0,2,5,3,5
586_right.jpg,0,0,0,0,0,80%,slit_lamp,1,2,5,2,5
951_left.jpg,0,0,0,0,0,80%,slit_lamp,3,2,2,3,3
cataract_080.png,3,3,4,3,4,80%,slit_lamp,3,3,2,2,3
