filename,rel_path,image_source,NO_raw,NO_bin,NC_raw,NC_bin,CO_raw,CO_bin,PSC_raw,PSC_bin
10_JPG.rf.840164aaa4c671343934474b85f3372c.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG.rf.840164aaa4c671343934474b85f3372c.jpg,mobile,0.020561753,0,2.78898084,3,4.937585494,5,2.177620901,2
10_JPG.rf.faba8129f089f732310fb2d1535b009a.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG.rf.faba8129f089f732310fb2d1535b009a.jpg,mobile,0.05830982,0,3.308401781,3,4.887973706,5,2.254574678,2
10_JPG_jpg.rf.005c5020edb7161293daaedb5dd10ba4.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.005c5020edb7161293daaedb5dd10ba4.jpg,mobile,0.180095009,0,2.592116275,3,4.699619438,5,2.342969041,2
10_JPG_jpg.rf.6b59db7b0080ada861843fb977df29a1.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.6b59db7b0080ada861843fb977df29a1.jpg,mobile,0.010216512,0,2.828123737,3,4.942845721,5,2.173310792,2
10_JPG_jpg.rf.80e6e9a166ac6e6389968cdc408be82c.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.80e6e9a166ac6e6389968cdc408be82c.jpg,mobile,1.615453414,2,3.145335953,3,3.284222093,3,2.506700624,3
10_JPG_jpg.rf.a3b10d94e424c24a0da12f09b50d5eac.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.a3b10d94e424c24a0da12f09b50d5eac.jpg,mobile,1.256340344,1,2.626271411,3,3.362081132,3,2.498447042,2
10_JPG_jpg.rf.c5647f4bd0393652db6102d377bff5a4.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.c5647f4bd0393652db6102d377bff5a4.jpg,mobile,0.040020044,0,3.582536551,4,4.882169525,5,2.269139438,2
10_JPG_jpg.rf.c6b04a42d93b417a623a86ef92bc0616.jpg,data\raw\mobile\dataset_01\data\test\immature\10_JPG_jpg.rf.c6b04a42d93b417a623a86ef92bc0616.jpg,mobile,0.079673451,0,2.796869859,3,4.811381423,5,2.299527659,2
11_JPG.rf.457d048cb97a02a8773cef01b3ae894f.jpg,data\raw\mobile\dataset_01\data\test\immature\11_JPG.rf.457d048cb97a02a8773cef01b3ae894f.jpg,mobile,0.116518856,0,2.227620849,2,4.539815779,5,1.282526396,1
11_JPG.rf.fe4b97480b60e61609bf62211fa8a243.jpg,data\raw\mobile\dataset_01\data\test\immature\11_JPG.rf.fe4b97480b60e61609bf62211fa8a243.jpg,mobile,0.024251092,0,2.525309718,3,4.803416398,5,1.243177482,1
11_JPG_jpg.rf.01285fc505435b28c10b59e714523f18.jpg,data\raw\mobile\dataset_01\data\test\immature\11_JPG_jpg.rf.01285fc505435b28c10b59e714523f18.jpg,mobile,0.410465093,0,2.127931633,2,4.04083605,4,1.313303463,1
